epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,35.786,2.43839,4.09104,2.69617,0.00246,0.75,0.0476,0.01336,2.35113,4.88587,3.06455,0.00015003,0.00015003,0.00015003
2,71.8095,2.31061,3.70173,2.42685,0.00335,1,0.11889,0.04625,2.07353,4.42999,2.284,0.000310459,0.000310459,0.000310459
3,107.392,2.0468,3.42994,2.19346,0.00333,1,0.16577,0.04261,2.20398,4.29127,2.75809,0.000464286,0.000464286,0.000464286
4,143.031,1.89373,3.2099,2.05046,0.00339,1,0.04503,0.01807,2.04794,4.38775,2.25186,0.000611512,0.000611512,0.000611512
5,179.137,1.88057,3.21843,2.04295,0.04257,0.925,0.2931,0.14265,1.67838,3.55793,1.6346,0.000752137,0.000752137,0.000752137
6,214.932,1.77345,2.93948,1.90846,0.10477,0.375,0.12485,0.04637,1.85557,3.99719,2.2548,0.000886161,0.000886161,0.000886161
7,250.603,1.75019,2.86311,1.8446,0.22614,0.49806,0.26764,0.10039,1.88492,4.27368,2.05758,0.00101358,0.00101358,0.00101358
8,286.202,1.69956,2.75013,1.78233,0.25824,0.35,0.22065,0.09882,1.64268,5.15172,1.72441,0.0011344,0.0011344,0.0011344
9,321.796,1.67958,2.57943,1.7759,0.26915,0.68635,0.39733,0.13043,1.66217,5.45167,1.59873,0.00124862,0.00124862,0.00124862
10,357.482,1.73646,2.63644,1.77863,0.27744,0.375,0.26077,0.0895,1.93109,6.56369,1.89776,0.00135624,0.00135624,0.00135624
11,393.14,1.745,2.57307,1.79634,0.31643,0.6,0.37133,0.14957,1.82673,3.33302,1.63493,0.00133693,0.00133693,0.00133693
12,428.42,1.63164,2.41381,1.70822,0.39909,0.375,0.35252,0.13519,1.85226,3.85682,1.95696,0.00130393,0.00130393,0.00130393
13,463.77,1.69655,2.56809,1.73847,0.33506,0.525,0.39798,0.16155,1.57248,3.60057,1.50866,0.00127092,0.00127092,0.00127092
14,499.877,1.56608,2.42968,1.6294,0.39668,0.65,0.4439,0.20102,1.68011,4.06472,1.62287,0.00123791,0.00123791,0.00123791
15,535.317,1.53873,2.33379,1.61061,0.39122,0.55,0.43389,0.19296,1.53958,4.42324,1.45378,0.00120491,0.00120491,0.00120491
16,570.553,1.64149,2.32437,1.66227,0.74591,0.25,0.20866,0.08517,1.86793,3.6779,1.65649,0.0011719,0.0011719,0.0011719
17,606.129,1.58774,2.31769,1.61899,0.65765,0.35,0.19075,0.07656,1.75212,4.58222,1.67119,0.00113889,0.00113889,0.00113889
18,641.605,1.55332,2.21376,1.60413,0.55754,0.6242,0.5613,0.28771,1.68444,2.59253,1.58607,0.00110589,0.00110589,0.00110589
19,676.938,1.63585,2.25632,1.67998,0.62905,0.525,0.48549,0.24243,1.3805,3.32547,1.27808,0.00107288,0.00107288,0.00107288
20,712.492,1.58485,2.22481,1.61844,0.6687,0.375,0.32241,0.13959,1.75863,3.56491,1.76786,0.00103987,0.00103987,0.00103987
21,748.011,1.50396,2.06132,1.5531,0.40617,0.64425,0.49439,0.25046,1.51449,2.57491,1.38382,0.00100687,0.00100687,0.00100687
22,784.993,1.55226,2.092,1.59934,0.62677,0.575,0.67567,0.3228,1.49901,2.12962,1.36012,0.000973861,0.000973861,0.000973861
23,822.423,1.50203,1.94492,1.53831,0.67858,0.6,0.70472,0.40467,1.36048,2.06757,1.25228,0.000940855,0.000940855,0.000940855
24,858.268,1.5507,1.9911,1.56951,0.6301,0.56888,0.54894,0.25377,1.45873,2.53041,1.32475,0.000907848,0.000907848,0.000907848
25,894.132,1.54822,2.06309,1.59883,0.68843,0.5,0.59283,0.31261,1.48117,2.24639,1.31779,0.000874842,0.000874842,0.000874842
26,930.067,1.49774,1.92686,1.56533,0.53944,0.64726,0.6021,0.33369,1.45298,2.31138,1.28813,0.000841835,0.000841835,0.000841835
27,966.065,1.48997,1.91192,1.57311,0.59623,0.7,0.5956,0.25413,1.54424,2.59089,1.42669,0.000808828,0.000808828,0.000808828
28,1001.69,1.48457,1.88892,1.56592,0.49344,0.625,0.55116,0.26184,1.70399,2.34733,1.51443,0.000775822,0.000775822,0.000775822
29,1037.42,1.4094,1.85374,1.50914,0.424,0.675,0.54206,0.26588,1.73863,2.36733,1.53378,0.000742815,0.000742815,0.000742815
30,1073.15,1.37127,1.7976,1.48982,0.73593,0.76683,0.77726,0.44815,1.35281,1.76562,1.25472,0.000709809,0.000709809,0.000709809
31,1108.27,1.3732,1.76574,1.48505,0.74438,0.7371,0.75623,0.44922,1.33133,1.71551,1.20428,0.000676802,0.000676802,0.000676802
32,1143.43,1.41393,1.76815,1.54972,0.78216,0.85,0.80796,0.46421,1.44934,1.72775,1.28577,0.000643795,0.000643795,0.000643795
33,1178.99,1.3686,1.74202,1.48394,0.72072,0.80791,0.77482,0.447,1.50126,1.8194,1.33191,0.000610789,0.000610789,0.000610789
34,1214,1.36505,1.74541,1.47292,0.77952,0.725,0.7712,0.45292,1.46606,1.77721,1.30733,0.000577782,0.000577782,0.000577782
35,1248.78,1.35236,1.74594,1.45009,0.79198,0.875,0.84226,0.53245,1.34074,1.60931,1.22822,0.000544776,0.000544776,0.000544776
36,1283.5,1.34652,1.68656,1.4688,0.67864,0.72052,0.71881,0.44612,1.33255,1.90661,1.24513,0.000511769,0.000511769,0.000511769
37,1318,1.24828,1.57967,1.40032,0.73974,0.66549,0.71972,0.47165,1.27572,1.889,1.19254,0.000478762,0.000478762,0.000478762
38,1352.71,1.29241,1.59741,1.42663,0.90751,0.82785,0.93572,0.60052,1.272,1.55081,1.12434,0.000445756,0.000445756,0.000445756
39,1387.08,1.31688,1.58683,1.42053,0.86513,0.83479,0.90903,0.58524,1.31396,1.50992,1.12485,0.000412749,0.000412749,0.000412749
40,1421.48,1.30301,1.62731,1.41527,0.81819,0.775,0.82774,0.52119,1.3342,1.56741,1.16781,0.000379743,0.000379743,0.000379743
41,1455.38,1.19368,1.56879,1.41932,0.88797,0.84249,0.87123,0.5417,1.39075,1.4108,1.23722,0.000346736,0.000346736,0.000346736
42,1489.69,1.06319,1.40251,1.30886,0.83738,0.93167,0.92159,0.60212,1.26754,1.40032,1.16407,0.000313729,0.000313729,0.000313729
43,1523.74,1.00397,1.25688,1.28831,0.90179,0.8897,0.92696,0.63754,1.17066,1.40992,1.0905,0.000280723,0.000280723,0.000280723
44,1557.83,1.03376,1.23852,1.33546,0.92193,0.89015,0.93227,0.70278,0.99472,1.38849,0.9799,0.000247716,0.000247716,0.000247716
45,1592.21,0.95221,1.13983,1.24915,0.92567,0.9,0.93535,0.74241,0.98037,1.36591,0.96368,0.00021471,0.00021471,0.00021471
46,1626.4,1.02624,1.11724,1.35707,0.90612,0.91606,0.94111,0.76039,0.94076,1.207,0.95364,0.000181703,0.000181703,0.000181703
47,1660.7,0.9648,1.05598,1.3047,0.84052,0.96987,0.94942,0.78042,0.89909,1.15423,0.93069,0.000148696,0.000148696,0.000148696
48,1695.04,0.9686,1.04639,1.31851,0.86835,0.94344,0.95987,0.78893,0.83646,1.07996,0.89052,0.00011569,0.00011569,0.00011569
49,1729.72,0.88256,0.99496,1.25585,0.87286,0.94025,0.97075,0.80074,0.82614,1.05974,0.88175,8.26832e-05,8.26832e-05,8.26832e-05
50,1763.96,0.93955,1.04719,1.30411,0.92181,0.91549,0.97342,0.83063,0.81941,1.04514,0.8806,4.96766e-05,4.96766e-05,4.96766e-05
